Timestamp,Value
2018-07-09 13:00:00,88.3
2018-07-09 14:00:00,90.5
2018-07-09 15:00:00,92.1
2018-07-09 16:00:00,93.3
2018-07-09 17:00:00,93.9
2018-07-09 18:00:00,93.2
2018-07-09 19:00:00,91.3
2018-07-09 20:00:00,88.4
2018-07-09 21:00:00,83.3
2018-07-09 22:00:00,79.0
2018-07-09 23:00:00,75.9
2018-07-10 00:00:00,73.3
2018-07-10 01:00:00,70.8
2018-07-10 02:00:00,68.6
2018-07-10 03:00:00,66.9
2018-07-10 04:00:00,65.4
2018-07-10 05:00:00,64.3
2018-07-10 06:00:00,65.7
2018-07-10 07:00:00,70.0
2018-07-10 08:00:00,74.4
2018-07-10 09:00:00,78.2
2018-07-10 10:00:00,82.5
2018-07-10 11:00:00,85.9
2018-07-10 12:00:00,88.8
2018-07-10 13:00:00,91.5
2018-07-10 14:00:00,93.5
2018-07-10 15:00:00,95.3
2018-07-10 16:00:00,96.7
2018-07-10 17:00:00,96.7
2018-07-10 18:00:00,95.3
2018-07-10 19:00:00,92.9
2018-07-10 20:00:00,89.4
2018-07-10 21:00:00,83.6
2018-07-10 22:00:00,79.8
2018-07-10 23:00:00,76.9
2018-07-11 00:00:00,74.4
2018-07-11 01:00:00,71.7
2018-07-11 02:00:00,70.1
2018-07-11 03:00:00,68.1
2018-07-11 04:00:00,66.5
2018-07-11 05:00:00,65.4
2018-07-11 06:00:00,67.0
2018-07-11 07:00:00,70.5
2018-07-11 08:00:00,74.1
2018-07-11 09:00:00,77.7
2018-07-11 10:00:00,80.9
2018-07-11 11:00:00,83.6
2018-07-11 12:00:00,86.3
2018-07-11 13:00:00,88.8
2018-07-11 14:00:00,91.3
2018-07-11 15:00:00,93.0
2018-07-11 16:00:00,94.2
2018-07-11 17:00:00,94.6
2018-07-11 18:00:00,93.3
2018-07-11 19:00:00,91.3
2018-07-11 20:00:00,88.1
2018-07-11 21:00:00,82.7
2018-07-11 22:00:00,78.9
2018-07-11 23:00:00,75.3
2018-07-12 00:00:00,72.8
2018-07-12 01:00:00,69.9
2018-07-12 02:00:00,68.6
2018-07-12 03:00:00,67.8
2018-07-12 04:00:00,65.6
2018-07-12 05:00:00,64.6
2018-07-12 06:00:00,65.1
2018-07-12 07:00:00,68.7
2018-07-12 08:00:00,72.3
2018-07-12 09:00:00,75.3
2018-07-12 10:00:00,78.9
2018-07-12 11:00:00,81.8
2018-07-12 12:00:00,85.2
2018-07-12 13:00:00,88.5
2018-07-12 14:00:00,91.2
2018-07-12 15:00:00,93.3
2018-07-12 16:00:00,94.4
